start_rva	end_rva	functions	unit	first_evidence	last_evidence
0x00001000	0x00001b60	6	SOURCE/HISCORE	??0highScoreManager@@QAE@XZ	strings:?Update@highScoreManager@@QAEXXZ
0x00001b60	0x00002be0	10	SOURCE/RECRUIT	strings:?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z	??0recruitUnit@@QAE@PAVtown@@HH@Z
0x00002be0	0x00005950	33	SOURCE/wingraph	?DDAppPaint@@YIHPAX0@Z	?SetGraphicsType@@YIHH@Z
0x00005950	0x0000f2c0	43	SOURCE/TOWNMGR	?MageGuildHandler@@YIHAAUtag_message@@@Z	?SplitArmyHandler@@YIHAAUtag_message@@@Z
0x0000f2c0	0x00013c40	24	SOURCE/COMMAND	?Main@combatManager@@UAEHAAUtag_message@@@Z	strings:?ProcessNextAction@combatManager@@QAEHAAUtag_message@@@Z
0x00013c40	0x000154f0	19	SOURCE/netwin	?is_netbios_avail@@YIHXZ	?nb_format_name@@YIXPADPAE@Z
0x000154f0	0x000180f0	13	SOURCE/SPELLS	?TurnToStone@combatManager@@QAEXPAVarmy@@@Z	?ViewSpells@combatManager@@QAEHH@Z
0x000180f0	0x00019990	12	SOURCE/PATH	?FindPath@army@@QAEHHHHHH@Z	?GetBestDirection@army@@QAEHHHH@Z
0x00019990	0x00019d51	8	BASE/Misc	_$E18	?SRand@@YIXH@Z
0x00019d51	0x00025040	69	SOURCE/PHILAI	?CreaturesToBuy@philAI@@QAEHHH@Z	?EvaluateMineEvent@philAI@@QAEHHHHPAH@Z
0x00025040	0x00037977	86	SOURCE/ADVMGR	?DimensionDoorHandler@@YIHAAUtag_message@@@Z	?UpdateHeroLocator@advManager@@QAEXHHH@Z
0x00037977	0x000489c4	111	SOURCE/GAME	?GetMineId@game@@QAEHHH@Z	?CompressTest2@@YIXXZ
0x000489c4	0x0004a5e0	9	SOURCE/REQUEST	strings:?Open@fileRequester@@UAEHH@Z	?DoKnob@fileRequester@@QAEXXZ
0x0004a5e0	0x0004f640	31	SOURCE/CMBTMGR	?MakeCreaturesVanish@combatManager@@QAEXXZ	?TestRaiseDoor@combatManager@@QAEXXZ
0x0004f640	0x000567f0	63	SOURCE/KB	?CleanUpMenus@@YIXXZ	?NetPosToGamePos@@YIHH@Z
0x000567f0	0x00059627	34	SOURCE/SETUP	?SetupBaud@game@@QAEHXZ	?SetupNetworkGame@game@@QAEHXZ
0x00059627	0x0005a16b	13	SOURCE/Modem	strings:?Dial@@YIJXZ	?ReadPacket@@YIDXZ
0x0005a16b	0x0005b659	11	SOURCE/REMOTE	reviewed-order:?MAKEFILEID@@YIKPAD@Z	reviewed-order:strings:?GetDataEntry@@YIXPAD0H0HH@Z
0x0005b659	0x0005c9fe	15	SOURCE/kbwin	?KBChangeMenu@@YIXPAX@Z	?SetMenus@@YIXPAXH@Z
0x0005c9fe	0x0005dde0	13	SOURCE/kbwin	reviewed-order:?MAKEFILEID@@YIKPAD@Z	reviewed-order:?FindLastToken@@YIPADPADD@Z
0x0005dde0	0x00063630	26	SOURCE/EVENTS	?DoAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@HH@Z	?ReceiveHeroTownData@advManager@@QAEXPADPAH11PAPAVhero@@PAPAVarmyGroup@@PAPAVtown@@23111PAC55@Z
0x00063630	0x00063f10	8	SOURCE/STRIP	strings:??0strip@@QAE@HHHKHPAVarmyGroup@@HHH@Z	?Update@bankBox@@QAEXH@Z
0x00063f10	0x00064470	7	SOURCE/TOWN	??0town@@QAE@XZ	?XformToCastle@town@@QAEXXZ
0x00064470	0x000644e7	2	SOURCE/NOOPT	source-path:?DelayTil@@YIXPAH@Z	?DelayTil@@YIXPAH@Z
0x000644e7	0x0006e71c	71	SOURCE/HERO	?RedrawHeroScreen@@YIXXZ	?GetNthSpell@hero@@QAEHHH@Z
0x0006e71c	0x000709f0	15	SOURCE/SWAPMGR	?SwapMons@swapManager@@QAEXXZ	strings:?SplitMons@swapManager@@QAEXXZ
0x000709f0	0x00073de0	36	(libcmt)	___old_sbh_find_block	__store_number
0x00073de0	0x00074a60	12	BASE/WINMGR	?SaveFizzleSource@heroWindowManager@@QAEXHHHH@Z	strings:?FizzleForward@heroWindowManager@@QAEXHHHHHPAC0@Z
0x00074a60	0x000758d0	15	BASE/WINDOW	?DrawWindow@heroWindow@@QAEXH@Z	?Close@heroWindow@@QAEXXZ
0x000758d0	0x000766e0	28	BASE/RESMGR	?GetBackdrop@resourceManager@@QAEXPADPAVbitmap@@H@Z	source-path:?ReadWord@resourceManager@@QAEFXZ
0x000766e0	0x00076ec0	14	BASE/MOUSEMGR	strings:??0mouseManager@@QAE@XZ	?MouseCoords@mouseManager@@QAEXAAH0@Z
0x00076ec0	0x00078f80	23	BASE/soundmgr	?Main@soundManager@@UAEHAAUtag_message@@@Z	?StartupMilesBackend@soundManager@@QAE_NXZ
0x00078f80	0x0007bac8	51	(libcmt)	___crtLCMapStringA	_strncpy
0x0007bac8	0x0007bb40	3	BASE/BITS	exact:_BitTest	_BitClear
0x0007bb40	0x0007c1b0	3	BASE/INPUTMGR	?KeyboardMessageHandler@@YIHPAXIIJ@Z	strings:?Open@inputManager@@UAEHH@Z
0x0007c1b0	0x00080188	50	(libcmt)	?_UnwindNestedFrames@@YGXPAUEHRegistrationNode@@PAUEHExceptionRecord@@@Z	__fread_lk
