# HoMM1 executable DNA census against VC4 LIBC.LIB/OLDNAMES.LIB.
# Exact rows mask relocation fields on both sides; order rows are bracketed by exact anchors.
rva	size	name	class	source	symbol	detail
0x00001000	0xa0	FUN_00401000	unknown			-
0x000010a0	0x1f	FUN_004010A0	unknown			-
0x000010bf	0x141	FUN_004010BF	unknown			-
0x00001200	0xd	FUN_00401200	eh-funclet			FuncInfo/unwind-map child record
0x0000120d	0x1b	FUN_0040120D	eh-funclet			FuncInfo/unwind-map child record
0x00001228	0x5d	FUN_00401228	unknown			-
0x00001285	0x269	FUN_00401285	unknown			-
0x000014ee	0x667	FUN_004014EE	unknown			-
0x00001b55	0xb	FUN_00401B55	linker-pad			trailing 90/CC alignment fill
0x00001b60	0x164	FUN_00401B60	unknown			-
0x00001cc4	0x25a	FUN_00401CC4	unknown			-
0x00001f1e	0xd	FUN_00401F1E	eh-funclet			FuncInfo/unwind-map child record
0x00001f2b	0x1b	FUN_00401F2B	eh-funclet			FuncInfo/unwind-map child record
0x00001f46	0xd1	FUN_00401F46	unknown			-
0x00002017	0x127	FUN_00402017	unknown			-
0x0000213e	0x3e5	FUN_0040213E	unknown			-
0x00002523	0xd6	FUN_00402523	unknown			-
0x000025f9	0xf4	FUN_004025F9	unknown			-
0x000026ed	0x18f	FUN_004026ED	unknown			-
0x0000287c	0xd	FUN_0040287C	eh-funclet			FuncInfo/unwind-map child record
0x00002889	0x18	FUN_00402889	eh-funclet			FuncInfo/unwind-map child record
0x000028a1	0xf	FUN_004028A1	linker-pad			trailing 90/CC alignment fill
0x000028b0	0x240	FUN_004028B0	unknown			-
0x00002af0	0xf0	FUN_00402AF0	unknown			-
0x00002be0	0xa60	FUN_00402BE0	unknown			-
0x00003640	0x59	FUN_00403640	unknown			-
0x00003699	0x46	FUN_00403699	unknown			-
0x000036df	0x9b	FUN_004036DF	unknown			-
0x0000377a	0xeb	FUN_0040377A	unknown			-
0x00003865	0x171	FUN_00403865	unknown			-
0x000039d6	0x592	FUN_004039D6	unknown			-
0x00003f68	0x140	FUN_00403F68	unknown			-
0x000040a8	0xb3	FUN_004040A8	unknown			-
0x0000415b	0x12a	FUN_0040415B	unknown			-
0x00004285	0x3ee	FUN_00404285	unknown			-
0x00004673	0x11c	FUN_00404673	unknown			-
0x0000478f	0x17f	FUN_0040478F	unknown			-
0x0000490e	0x2ea	FUN_0040490E	unknown			-
0x00004bf8	0x89	FUN_00404BF8	unknown			-
0x00004c81	0x151	FUN_00404C81	unknown			-
0x00004dd2	0x1dd	FUN_00404DD2	unknown			-
0x00004faf	0x1d5	FUN_00404FAF	unknown			-
0x00005184	0x1c0	FUN_00405184	unknown			-
0x00005344	0x78	FUN_00405344	unknown			-
0x000053bc	0x6c	FUN_004053BC	unknown			-
0x00005428	0x29	FUN_00405428	unknown			-
0x00005451	0x2c	FUN_00405451	unknown			-
0x0000547d	0x2e	FUN_0040547D	unknown			-
0x000054ab	0x81	FUN_004054AB	unknown			-
0x0000552c	0x60	FUN_0040552C	unknown			-
0x0000558c	0x47	FUN_0040558C	unknown			-
0x000055d3	0x2c	FUN_004055D3	unknown			-
0x000055ff	0x3a	FUN_004055FF	unknown			-
0x00005639	0x31	FUN_00405639	unknown			-
0x0000566a	0xb9	FUN_0040566A	unknown			-
0x00005723	0x31	FUN_00405723	unknown			-
0x00005754	0x1f3	FUN_00405754	unknown			-
0x00005947	0x9	FUN_00405947	linker-pad			trailing 90/CC alignment fill
0x00005950	0x169	FUN_00405950	unknown			-
0x00005ab9	0x150	FUN_00405AB9	unknown			-
0x00005c09	0x5e4	FUN_00405C09	unknown			-
0x000061ed	0x88	FUN_004061ED	unknown			-
0x00006275	0x261	FUN_00406275	unknown			-
0x000064d6	0x136	FUN_004064D6	unknown			-
0x0000660c	0xe1e	FUN_0040660C	unknown			-
0x0000742a	0x181	FUN_0040742A	unknown			-
0x000075ab	0x20a	FUN_004075AB	unknown			-
0x000077b5	0x2a3	FUN_004077B5	unknown			-
0x00007a58	0x329	FUN_00407A58	unknown			-
0x00007d81	0xf	FUN_00407D81	linker-pad			trailing 90/CC alignment fill
0x00007d90	0x1c9	FUN_00407D90	unknown			-
0x00007f59	0xd	FUN_00407F59	eh-funclet			FuncInfo/unwind-map child record
0x00007f66	0x1b	FUN_00407F66	eh-funclet			FuncInfo/unwind-map child record
0x00007f81	0x60	FUN_00407F81	unknown			-
0x00007fe1	0x117	FUN_00407FE1	unknown			-
0x000080f8	0x74	FUN_004080F8	unknown			-
0x0000816c	0x783	FUN_0040816C	unknown			-
0x000088ef	0xd	FUN_004088EF	eh-funclet			FuncInfo/unwind-map child record
0x000088fc	0xd	FUN_004088FC	eh-funclet			FuncInfo/unwind-map child record
0x00008909	0xd	FUN_00408909	eh-funclet			FuncInfo/unwind-map child record
0x00008916	0xd	FUN_00408916	eh-funclet			FuncInfo/unwind-map child record
0x00008923	0xd	FUN_00408923	eh-funclet			FuncInfo/unwind-map child record
0x00008930	0xd	FUN_00408930	eh-funclet			FuncInfo/unwind-map child record
0x0000893d	0x1b	FUN_0040893D	eh-funclet			FuncInfo/unwind-map child record
0x00008958	0x1c4	FUN_00408958	unknown			-
0x00008b1c	0x3b6	FUN_00408B1C	unknown			-
0x00008ed2	0x468	FUN_00408ED2	unknown			-
0x0000933a	0x74	FUN_0040933A	unknown			-
0x000093ae	0x1299	FUN_004093AE	unknown			-
0x0000a647	0x10	FUN_0040A647	eh-funclet			FuncInfo/unwind-map child record
0x0000a657	0xd	FUN_0040A657	eh-funclet			FuncInfo/unwind-map child record
0x0000a664	0xd	FUN_0040A664	eh-funclet			FuncInfo/unwind-map child record
0x0000a671	0xd	FUN_0040A671	eh-funclet			FuncInfo/unwind-map child record
0x0000a67e	0xd	FUN_0040A67E	eh-funclet			FuncInfo/unwind-map child record
0x0000a68b	0xd	FUN_0040A68B	eh-funclet			FuncInfo/unwind-map child record
0x0000a698	0xd	FUN_0040A698	eh-funclet			FuncInfo/unwind-map child record
0x0000a6a5	0xd	FUN_0040A6A5	eh-funclet			FuncInfo/unwind-map child record
0x0000a6b2	0x1b	FUN_0040A6B2	eh-funclet			FuncInfo/unwind-map child record
0x0000a6cd	0x65f	FUN_0040A6CD	unknown			-
0x0000ad2c	0xa5	FUN_0040AD2C	unknown			-
0x0000add1	0x359	FUN_0040ADD1	unknown			-
0x0000b12a	0xd	FUN_0040B12A	eh-funclet			FuncInfo/unwind-map child record
0x0000b137	0x18	FUN_0040B137	eh-funclet			FuncInfo/unwind-map child record
0x0000b14f	0xce	FUN_0040B14F	unknown			-
0x0000b21d	0xab	FUN_0040B21D	unknown			-
0x0000b2c8	0x95	FUN_0040B2C8	unknown			-
