# HoMM1 executable DNA census against VC4 LIBC.LIB/OLDNAMES.LIB.
# Exact rows mask relocation fields on both sides; order rows are bracketed by exact anchors.
rva	size	name	class	source	symbol	detail
0x0000b35d	0xf8	FUN_0040B35D	unknown			-
0x0000b455	0xfc8	FUN_0040B455	unknown			-
0x0000c41d	0x10	FUN_0040C41D	eh-funclet			FuncInfo/unwind-map child record
0x0000c42d	0x10	FUN_0040C42D	eh-funclet			FuncInfo/unwind-map child record
0x0000c43d	0x10	FUN_0040C43D	eh-funclet			FuncInfo/unwind-map child record
0x0000c44d	0x10	FUN_0040C44D	eh-funclet			FuncInfo/unwind-map child record
0x0000c45d	0x1b	FUN_0040C45D	eh-funclet			FuncInfo/unwind-map child record
0x0000c478	0x3a0	FUN_0040C478	unknown			-
0x0000c818	0x4b5	FUN_0040C818	unknown			-
0x0000cccd	0x24d	FUN_0040CCCD	unknown			-
0x0000cf1a	0x331	FUN_0040CF1A	unknown			-
0x0000d24b	0x186	FUN_0040D24B	unknown			-
0x0000d3d1	0x2c5	FUN_0040D3D1	unknown			-
0x0000d696	0xd	FUN_0040D696	eh-funclet			FuncInfo/unwind-map child record
0x0000d6a3	0x1a	FUN_0040D6A3	eh-funclet			FuncInfo/unwind-map child record
0x0000d6bd	0x484	FUN_0040D6BD	unknown			-
0x0000db41	0xea	FUN_0040DB41	unknown			-
0x0000dc2b	0x2f	FUN_0040DC2B	unknown			-
0x0000dc5a	0x93f	FUN_0040DC5A	unknown			-
0x0000e599	0xd	FUN_0040E599	eh-funclet			FuncInfo/unwind-map child record
0x0000e5a6	0xd	FUN_0040E5A6	eh-funclet			FuncInfo/unwind-map child record
0x0000e5b3	0xd	FUN_0040E5B3	eh-funclet			FuncInfo/unwind-map child record
0x0000e5c0	0x1b	FUN_0040E5C0	eh-funclet			FuncInfo/unwind-map child record
0x0000e5db	0x155	FUN_0040E5DB	unknown			-
0x0000e730	0x111	FUN_0040E730	unknown			-
0x0000e841	0xd	FUN_0040E841	eh-funclet			FuncInfo/unwind-map child record
0x0000e84e	0x18	FUN_0040E84E	eh-funclet			FuncInfo/unwind-map child record
0x0000e866	0x726	FUN_0040E866	unknown			-
0x0000ef8c	0x32d	FUN_0040EF8C	unknown			-
0x0000f2b9	0x7	FUN_0040F2B9	linker-pad			trailing 90/CC alignment fill
0x0000f2c0	0x311	FUN_0040F2C0	unknown			-
0x0000f5d1	0xd6	FUN_0040F5D1	unknown			-
0x0000f6a7	0x7e9	FUN_0040F6A7	unknown			-
0x0000fe90	0x620	FUN_0040FE90	unknown			-
0x000104b0	0x34	FUN_004104B0	unknown			-
0x000104e4	0x5bb	FUN_004104E4	unknown			-
0x00010a9f	0x139	FUN_00410A9F	unknown			-
0x00010bd8	0x15d	FUN_00410BD8	unknown			-
0x00010d35	0x316	FUN_00410D35	unknown			-
0x0001104b	0x1dc	FUN_0041104B	unknown			-
0x00011227	0x333	FUN_00411227	unknown			-
0x0001155a	0x1a3	FUN_0041155A	unknown			-
0x000116fd	0x110	FUN_004116FD	unknown			-
0x0001180d	0x2fa	FUN_0041180D	unknown			-
0x00011b07	0x766	FUN_00411B07	unknown			-
0x0001226d	0x10	FUN_0041226D	eh-funclet			FuncInfo/unwind-map child record
0x0001227d	0x10	FUN_0041227D	eh-funclet			FuncInfo/unwind-map child record
0x0001228d	0x10	FUN_0041228D	eh-funclet			FuncInfo/unwind-map child record
0x0001229d	0x10	FUN_0041229D	eh-funclet			FuncInfo/unwind-map child record
0x000122ad	0x10	FUN_004122AD	eh-funclet			FuncInfo/unwind-map child record
0x000122bd	0x1a	FUN_004122BD	eh-funclet			FuncInfo/unwind-map child record
0x000122d7	0x777	FUN_004122D7	unknown			-
0x00012a4e	0x10	FUN_00412A4E	eh-funclet			FuncInfo/unwind-map child record
0x00012a5e	0x1a	FUN_00412A5E	eh-funclet			FuncInfo/unwind-map child record
0x00012a78	0x524	FUN_00412A78	unknown			-
0x00012f9c	0xd	FUN_00412F9C	eh-funclet			FuncInfo/unwind-map child record
0x00012fa9	0x18	FUN_00412FA9	eh-funclet			FuncInfo/unwind-map child record
0x00012fc1	0x2a0	FUN_00412FC1	unknown			-
0x00013261	0xd	FUN_00413261	eh-funclet			FuncInfo/unwind-map child record
0x0001326e	0x19	FUN_0041326E	eh-funclet			FuncInfo/unwind-map child record
0x00013287	0xc2	FUN_00413287	unknown			-
0x00013349	0xdf	FUN_00413349	unknown			-
0x00013428	0x79	FUN_00413428	unknown			-
0x000134a1	0x16a	FUN_004134A1	unknown			-
0x0001360b	0xdb	FUN_0041360B	unknown			-
0x000136e6	0x552	FUN_004136E6	unknown			-
0x00013c38	0x8	FUN_00413C38	linker-pad			trailing 90/CC alignment fill
0x00013c40	0xa8	FUN_00413C40	unknown			-
0x00013ce8	0x1b2	FUN_00413CE8	unknown			-
0x00013e9a	0x1f0	FUN_00413E9A	unknown			-
0x0001408a	0x90	FUN_0041408A	unknown			-
0x0001411a	0x104	FUN_0041411A	unknown			-
0x0001421e	0x4f6	FUN_0041421E	unknown			-
0x00014714	0x1e	FUN_00414714	unknown			-
0x00014732	0x26f	FUN_00414732	unknown			-
0x000149a1	0xbb	FUN_004149A1	unknown			-
0x00014a5c	0x1cc	FUN_00414A5C	unknown			-
0x00014c28	0xb8	FUN_00414C28	unknown			-
0x00014ce0	0x146	FUN_00414CE0	unknown			-
0x00014e26	0xc6	FUN_00414E26	unknown			-
0x00014eec	0xc6	FUN_00414EEC	unknown			-
0x00014fb2	0x134	FUN_00414FB2	unknown			-
0x000150e6	0x14e	FUN_004150E6	unknown			-
0x00015234	0xbf	FUN_00415234	unknown			-
0x000152f3	0x176	FUN_004152F3	unknown			-
0x00015469	0x81	FUN_00415469	unknown			-
0x000154ea	0x6	FUN_004154EA	linker-pad			trailing 90/CC alignment fill
0x000154f0	0x147	FUN_004154F0	unknown			-
0x00015637	0x160	FUN_00415637	unknown			-
0x00015797	0x295	FUN_00415797	unknown			-
0x00015a2c	0x2f0	FUN_00415A2C	unknown			-
0x00015d1c	0x128	FUN_00415D1C	unknown			-
0x00015e44	0xd69	FUN_00415E44	unknown			-
0x00016bad	0xcb	FUN_00416BAD	unknown			-
0x00016c78	0x407	FUN_00416C78	unknown			-
0x0001707f	0x12e	FUN_0041707F	unknown			-
0x000171ad	0x432	FUN_004171AD	unknown			-
0x000175df	0x439	FUN_004175DF	unknown			-
0x00017a18	0x2f3	FUN_00417A18	unknown			-
0x00017d0b	0x3b7	FUN_00417D0B	unknown			-
0x000180c2	0xd	FUN_004180C2	eh-funclet			FuncInfo/unwind-map child record
0x000180cf	0x18	FUN_004180CF	eh-funclet			FuncInfo/unwind-map child record
0x000180e7	0x9	FUN_004180E7	linker-pad			trailing 90/CC alignment fill
0x000180f0	0x152	FUN_004180F0	unknown			-
0x00018242	0x9e	FUN_00418242	unknown			-
0x000182e0	0x7b	FUN_004182E0	unknown			-
0x0001835b	0xbf	FUN_0041835B	unknown			-
0x0001841a	0x2d	FUN_0041841A	unknown			-
0x00018447	0x1fc	FUN_00418447	unknown			-
0x00018643	0x295	FUN_00418643	unknown			-
0x000188d8	0x11e	FUN_004188D8	unknown			-
0x000189f6	0xf8	FUN_004189F6	unknown			-
0x00018aee	0x4c2	FUN_00418AEE	unknown			-
0x00018fb0	0x58	FUN_00418FB0	unknown			-
0x00019008	0x984	FUN_00419008	unknown			-
0x0001998c	0x4	FUN_0041998C	linker-pad			trailing 90/CC alignment fill
0x00019990	0x15	FUN_00419990	helper-order	BASE/Misc	_$E18	HoMM2 donor definition-order segment
0x000199a5	0x79	FUN_004199A5	unknown			-
0x00019a1e	0xa6	FUN_00419A1E	unknown			-
0x00019ac4	0x86	FUN_00419AC4	unknown			-
0x00019b4a	0x8a	FUN_00419B4A	unknown			-
0x00019bd4	0xab	FUN_00419BD4	unknown			-
0x00019c7f	0xb3	FUN_00419C7F	unknown			-
0x00019d32	0x1f	FUN_00419D32	unknown			-
0x00019d51	0x4e	FUN_00419D51	unknown			-
0x00019d9f	0x177	FUN_00419D9F	unknown			-
0x00019f16	0x1ef	FUN_00419F16	unknown			-
0x0001a105	0x10	FUN_0041A105	unknown			-
0x0001a115	0x8c	FUN_0041A115	unknown			-
0x0001a1a1	0x5e	FUN_0041A1A1	unknown			-
0x0001a1ff	0xb0	FUN_0041A1FF	unknown			-
0x0001a2af	0x445	FUN_0041A2AF	unknown			-
0x0001a6f4	0x1a9	FUN_0041A6F4	unknown			-
0x0001a89d	0x473	FUN_0041A89D	unknown			-
0x0001ad10	0x294	FUN_0041AD10	unknown			-
0x0001afa4	0x1a0	FUN_0041AFA4	unknown			-
0x0001b144	0x8f0	FUN_0041B144	unknown			-
0x0001ba34	0x4b	FUN_0041BA34	unknown			-
0x0001ba7f	0x6a0	FUN_0041BA7F	unknown			-
0x0001c11f	0x600	FUN_0041C11F	unknown			-
0x0001c71f	0x11c	FUN_0041C71F	unknown			-
0x0001c83b	0x932	FUN_0041C83B	unknown			-
0x0001d16d	0x64d	FUN_0041D16D	unknown			-
0x0001d7ba	0x1e	FUN_0041D7BA	unknown			-
0x0001d7d8	0x59b	FUN_0041D7D8	unknown			-
0x0001dd73	0x185	FUN_0041DD73	unknown			-
0x0001def8	0x2f5	FUN_0041DEF8	unknown			-
0x0001e1ed	0x211	FUN_0041E1ED	unknown			-
0x0001e3fe	0x48	FUN_0041E3FE	unknown			-
0x0001e446	0x5f	FUN_0041E446	unknown			-
0x0001e4a5	0x9b	FUN_0041E4A5	unknown			-
0x0001e540	0x1bc	FUN_0041E540	unknown			-
0x0001e6fc	0x1a0	FUN_0041E6FC	unknown			-
0x0001e89c	0x65	FUN_0041E89C	unknown			-
0x0001e901	0x1a	FUN_0041E901	unknown			-
0x0001e91b	0x1d3	FUN_0041E91B	unknown			-
0x0001eaee	0xed	FUN_0041EAEE	unknown			-
0x0001ebdb	0xa6	FUN_0041EBDB	unknown			-
0x0001ec81	0xca	FUN_0041EC81	unknown			-
0x0001ed4b	0x55e	FUN_0041ED4B	unknown			-
0x0001f2a9	0x1a	FUN_0041F2A9	unknown			-
0x0001f2c3	0x895	FUN_0041F2C3	unknown			-
0x0001fb58	0xd	FUN_0041FB58	eh-funclet			FuncInfo/unwind-map child record
0x0001fb65	0x1b	FUN_0041FB65	eh-funclet			FuncInfo/unwind-map child record
0x0001fb80	0xb1	FUN_0041FB80	unknown			-
0x0001fc31	0x176	FUN_0041FC31	unknown			-
0x0001fda7	0x134	FUN_0041FDA7	unknown			-
0x0001fedb	0x51	FUN_0041FEDB	unknown			-
0x0001ff2c	0x764	FUN_0041FF2C	unknown			-
0x00020690	0x1da	FUN_00420690	unknown			-
0x0002086a	0x3a7	FUN_0042086A	unknown			-
0x00020c11	0xbae	FUN_00420C11	unknown			-
0x000217bf	0x61	FUN_004217BF	unknown			-
0x00021820	0xc7	FUN_00421820	unknown			-
0x000218e7	0x69	FUN_004218E7	unknown			-
0x00021950	0x1d	FUN_00421950	unknown			-
0x0002196d	0x194	FUN_0042196D	unknown			-
0x00021b01	0x25c	FUN_00421B01	unknown			-
0x00021d5d	0x100	FUN_00421D5D	unknown			-
0x00021e5d	0x188	FUN_00421E5D	unknown			-
0x00021fe5	0x177	FUN_00421FE5	unknown			-
0x0002215c	0x26a	FUN_0042215C	unknown			-
0x000223c6	0x73	FUN_004223C6	unknown			-
0x00022439	0x66	FUN_00422439	unknown			-
0x0002249f	0xcb	FUN_0042249F	unknown			-
0x0002256a	0x221	FUN_0042256A	unknown			-
0x0002278b	0x2083	FUN_0042278B	unknown			-
0x0002480e	0x2	FUN_0042480E	linker-pad			trailing 90/CC alignment fill
0x00024810	0x10	FUN_00424810	unknown			-
0x00024820	0x30	FUN_00424820	unknown			-
0x00024850	0x50	FUN_00424850	unknown			-
0x000248a0	0x60	FUN_004248A0	unknown			-
0x00024900	0x4f	FUN_00424900	unknown			-
0x0002494f	0x1	FUN_0042494F	linker-pad			trailing 90/CC alignment fill
0x00024950	0x2ff	FUN_00424950	unknown			-
0x00024c4f	0x1	FUN_00424C4F	linker-pad			trailing 90/CC alignment fill
0x00024c50	0x140	FUN_00424C50	unknown			-
0x00024d90	0x2b0	FUN_00424D90	unknown			-
0x00025040	0x280	FUN_00425040	unknown			-
0x000252c0	0x2cc	FUN_004252C0	unknown			-
0x0002558c	0x1f	FUN_0042558C	unknown			-
0x000255ab	0xe23	FUN_004255AB	unknown			-
0x000263ce	0xd	FUN_004263CE	eh-funclet			FuncInfo/unwind-map child record
0x000263db	0xd	FUN_004263DB	eh-funclet			FuncInfo/unwind-map child record
0x000263e8	0xd	FUN_004263E8	eh-funclet			FuncInfo/unwind-map child record
0x000263f5	0xd	FUN_004263F5	eh-funclet			FuncInfo/unwind-map child record
0x00026402	0xd	FUN_00426402	eh-funclet			FuncInfo/unwind-map child record
0x0002640f	0xd	FUN_0042640F	eh-funclet			FuncInfo/unwind-map child record
0x0002641c	0xd	FUN_0042641C	eh-funclet			FuncInfo/unwind-map child record
0x00026429	0xd	FUN_00426429	eh-funclet			FuncInfo/unwind-map child record
0x00026436	0x1b	FUN_00426436	eh-funclet			FuncInfo/unwind-map child record
0x00026451	0x3bd	FUN_00426451	unknown			-
0x0002680e	0xc7	FUN_0042680E	unknown			-
0x000268d5	0x619	FUN_004268D5	unknown			-
0x00026eee	0xe10	FUN_00426EEE	unknown			-
0x00027cfe	0x22	FUN_00427CFE	unknown			-
0x00027d20	0xe39	FUN_00427D20	unknown			-
0x00028b59	0x1ea	FUN_00428B59	unknown			-
0x00028d43	0x49b	FUN_00428D43	unknown			-
0x000291de	0xc02	FUN_004291DE	unknown			-
0x00029de0	0x265	FUN_00429DE0	unknown			-
0x0002a045	0x359	FUN_0042A045	unknown			-
0x0002a39e	0x3a	FUN_0042A39E	unknown			-
0x0002a3d8	0x40d	FUN_0042A3D8	unknown			-
0x0002a7e5	0xee8	FUN_0042A7E5	unknown			-
0x0002b6cd	0x7d	FUN_0042B6CD	unknown			-
0x0002b74a	0x57e	FUN_0042B74A	unknown			-
0x0002bcc8	0x56c	FUN_0042BCC8	unknown			-
0x0002c234	0x10	FUN_0042C234	eh-funclet			FuncInfo/unwind-map child record
0x0002c244	0x1a	FUN_0042C244	eh-funclet			FuncInfo/unwind-map child record
0x0002c25e	0x3c8	FUN_0042C25E	unknown			-
0x0002c626	0x108	FUN_0042C626	unknown			-
0x0002c72e	0x27f	FUN_0042C72E	unknown			-
0x0002c9ad	0x19f	FUN_0042C9AD	unknown			-
0x0002cb4c	0x132	FUN_0042CB4C	unknown			-
0x0002cc7e	0x565	FUN_0042CC7E	unknown			-
0x0002d1e3	0xd	FUN_0042D1E3	eh-funclet			FuncInfo/unwind-map child record
0x0002d1f0	0xd	FUN_0042D1F0	eh-funclet			FuncInfo/unwind-map child record
0x0002d1fd	0xd	FUN_0042D1FD	eh-funclet			FuncInfo/unwind-map child record
0x0002d20a	0xd	FUN_0042D20A	eh-funclet			FuncInfo/unwind-map child record
0x0002d217	0xd	FUN_0042D217	eh-funclet			FuncInfo/unwind-map child record
0x0002d224	0x19	FUN_0042D224	eh-funclet			FuncInfo/unwind-map child record
0x0002d23d	0x393	FUN_0042D23D	unknown			-
0x0002d5d0	0xd	FUN_0042D5D0	eh-funclet			FuncInfo/unwind-map child record
0x0002d5dd	0xd	FUN_0042D5DD	eh-funclet			FuncInfo/unwind-map child record
0x0002d5ea	0xd	FUN_0042D5EA	eh-funclet			FuncInfo/unwind-map child record
0x0002d5f7	0xd	FUN_0042D5F7	eh-funclet			FuncInfo/unwind-map child record
0x0002d604	0x19	FUN_0042D604	eh-funclet			FuncInfo/unwind-map child record
0x0002d61d	0x3ad	FUN_0042D61D	unknown			-
0x0002d9ca	0xd	FUN_0042D9CA	eh-funclet			FuncInfo/unwind-map child record
0x0002d9d7	0xd	FUN_0042D9D7	eh-funclet			FuncInfo/unwind-map child record
0x0002d9e4	0xd	FUN_0042D9E4	eh-funclet			FuncInfo/unwind-map child record
0x0002d9f1	0xd	FUN_0042D9F1	eh-funclet			FuncInfo/unwind-map child record
0x0002d9fe	0x19	FUN_0042D9FE	eh-funclet			FuncInfo/unwind-map child record
0x0002da17	0x38e	FUN_0042DA17	unknown			-
0x0002dda5	0xd	FUN_0042DDA5	eh-funclet			FuncInfo/unwind-map child record
0x0002ddb2	0xd	FUN_0042DDB2	eh-funclet			FuncInfo/unwind-map child record
0x0002ddbf	0xd	FUN_0042DDBF	eh-funclet			FuncInfo/unwind-map child record
0x0002ddcc	0x19	FUN_0042DDCC	eh-funclet			FuncInfo/unwind-map child record
0x0002dde5	0x5d2	FUN_0042DDE5	unknown			-
0x0002e3b7	0xd	FUN_0042E3B7	eh-funclet			FuncInfo/unwind-map child record
0x0002e3c4	0xd	FUN_0042E3C4	eh-funclet			FuncInfo/unwind-map child record
0x0002e3d1	0xd	FUN_0042E3D1	eh-funclet			FuncInfo/unwind-map child record
0x0002e3de	0xd	FUN_0042E3DE	eh-funclet			FuncInfo/unwind-map child record
0x0002e3eb	0xd	FUN_0042E3EB	eh-funclet			FuncInfo/unwind-map child record
0x0002e3f8	0x19	FUN_0042E3F8	eh-funclet			FuncInfo/unwind-map child record
0x0002e411	0xcac	FUN_0042E411	unknown			-
0x0002f0bd	0x10	FUN_0042F0BD	eh-funclet			FuncInfo/unwind-map child record
0x0002f0cd	0x10	FUN_0042F0CD	eh-funclet			FuncInfo/unwind-map child record
0x0002f0dd	0x10	FUN_0042F0DD	eh-funclet			FuncInfo/unwind-map child record
0x0002f0ed	0x10	FUN_0042F0ED	eh-funclet			FuncInfo/unwind-map child record
0x0002f0fd	0x10	FUN_0042F0FD	eh-funclet			FuncInfo/unwind-map child record
0x0002f10d	0x10	FUN_0042F10D	eh-funclet			FuncInfo/unwind-map child record
0x0002f11d	0x10	FUN_0042F11D	eh-funclet			FuncInfo/unwind-map child record
0x0002f12d	0x10	FUN_0042F12D	eh-funclet			FuncInfo/unwind-map child record
0x0002f13d	0x1a	FUN_0042F13D	eh-funclet			FuncInfo/unwind-map child record
0x0002f157	0xe2	FUN_0042F157	unknown			-
0x0002f239	0xbd7	FUN_0042F239	unknown			-
0x0002fe10	0x10	FUN_0042FE10	eh-funclet			FuncInfo/unwind-map child record
0x0002fe20	0x10	FUN_0042FE20	eh-funclet			FuncInfo/unwind-map child record
0x0002fe30	0x10	FUN_0042FE30	eh-funclet			FuncInfo/unwind-map child record
0x0002fe40	0x10	FUN_0042FE40	eh-funclet			FuncInfo/unwind-map child record
0x0002fe50	0x10	FUN_0042FE50	eh-funclet			FuncInfo/unwind-map child record
0x0002fe60	0x10	FUN_0042FE60	eh-funclet			FuncInfo/unwind-map child record
0x0002fe70	0x1a	FUN_0042FE70	eh-funclet			FuncInfo/unwind-map child record
0x0002fe8a	0xe8	FUN_0042FE8A	unknown			-
0x0002ff72	0x1f	FUN_0042FF72	unknown			-
0x0002ff91	0x27	FUN_0042FF91	unknown			-
0x0002ffb8	0x59	FUN_0042FFB8	unknown			-
0x00030011	0x199	FUN_00430011	unknown			-
0x000301aa	0x255	FUN_004301AA	unknown			-
0x000303ff	0x3e6	FUN_004303FF	unknown			-
0x000307e5	0x290	FUN_004307E5	unknown			-
0x00030a75	0x290	FUN_00430A75	unknown			-
0x00030d05	0x3b5	FUN_00430D05	unknown			-
0x000310ba	0xd	FUN_004310BA	eh-funclet			FuncInfo/unwind-map child record
0x000310c7	0x18	FUN_004310C7	eh-funclet			FuncInfo/unwind-map child record
0x000310df	0x236	FUN_004310DF	unknown			-
0x00031315	0x1f2	FUN_00431315	unknown			-
0x00031507	0x1127	FUN_00431507	unknown			-
0x0003262e	0x41	FUN_0043262E	unknown			-
0x0003266f	0x321	FUN_0043266F	unknown			-
0x00032990	0x227	FUN_00432990	unknown			-
0x00032bb7	0x20c	FUN_00432BB7	unknown			-
0x00032dc3	0xd	FUN_00432DC3	eh-funclet			FuncInfo/unwind-map child record
0x00032dd0	0x19	FUN_00432DD0	eh-funclet			FuncInfo/unwind-map child record
0x00032de9	0x54b	FUN_00432DE9	unknown			-
0x00033334	0xab	FUN_00433334	unknown			-
0x000333df	0x1ee	FUN_004333DF	unknown			-
0x000335cd	0xd	FUN_004335CD	eh-funclet			FuncInfo/unwind-map child record
0x000335da	0x18	FUN_004335DA	eh-funclet			FuncInfo/unwind-map child record
0x000335f2	0x1d3	FUN_004335F2	unknown			-
0x000337c5	0x34b	FUN_004337C5	unknown			-
0x00033b10	0xaf6	FUN_00433B10	unknown			-
0x00034606	0x3a	FUN_00434606	unknown			-
0x00034640	0x2dd	FUN_00434640	unknown			-
0x0003491d	0x69	FUN_0043491D	unknown			-
0x00034986	0x251	FUN_00434986	unknown			-
0x00034bd7	0x340	FUN_00434BD7	unknown			-
0x00034f17	0x221	FUN_00434F17	unknown			-
0x00035138	0xd	FUN_00435138	eh-funclet			FuncInfo/unwind-map child record
0x00035145	0x18	FUN_00435145	eh-funclet			FuncInfo/unwind-map child record
0x0003515d	0x2a6	FUN_0043515D	unknown			-
