rva	size	donor	donor_rva	symbol	unit	score	margin	target_strings	evidence
0x000892c0	0xa0	buka21	0x000d98ad	_flsall	(libcmt)	0.463659	0.021159		shape=0.212;size=0.976;calls=0.833;alternate=pol20:void resourceManager::ReadBlock(signed char *, unsigned long int)@0x000c91b0:0.417311
0x00089360	0x1e0	buka21	0x000e444b	_raise	(libcmt)	0.436060	0.039413		shape=0.211;size=0.804;calls=1.000;alternate=pol20:void sample::constructor(char *, long int, long int, long int)@0x000dad60:0.406011
0x00089540	0x40	buka21	0x000bc860	?Close@inputManager@@UAEXXZ	BASE/INPUTMGR	0.395979	0.079121		shape=0.148;size=0.901;calls=1.000;alternate=pol20:struct tag_Node * pop_node(struct tag_Anchor *)@0x0008a6b4:0.386889
0x00089580	0x40	buka21	0x000e7f20	__strrev	(libcmt)	0.417791	0.080239		shape=0.233;size=0.750;calls=1.000;alternate=pol20:void font::DrawString(char *, int, int, int)@0x000c7370:0.333238
0x000895c0	0x30	buka21	0x00064cc0	??0hexcell@@QAE@XZ	SOURCE/HEXCELL	0.410330	0.043246		shape=0.167;size=0.814;calls=1.000;alternate=pol20:void widget::constructor(void)@0x000dde60:0.364504
0x000895f0	0x70	buka21	0x000e463d	___add_12	(libcmt)	0.558981	0.124981		shape=0.500;size=0.839;calls=1.000;alternate=pol20:void MIDIWrap::constructor(char *)@0x000daf70:0.421155
0x00089660	0x40	pol20	0x000d5630	void SETREST(int, unsigned int)	BASE/Bzip	0.454931	0.000000		shape=0.139;size=0.985;calls=1.000;alternate=buka21:___shl_12@0x000e469b:0.425630
0x000896a0	0x40	buka21	0x000e469b	___shl_12	(libcmt)	0.445394	0.013896		shape=0.310;size=0.719;calls=1.000;alternate=pol20:void advManager::PasswordAIEvent(class mapCell *, class hero *)@0x000b48e8:0.406208
0x000896e0	0xf0	pol20	0x00070685	void hero::DoSSLevelDialog(int, int)	SOURCE/HERO	0.445564	0.019816		shape=0.160;size=0.984;calls=0.833;alternate=buka21:?BarrierEvent@advManager@@QAEHPAVmapCell@@PAVhero@@@Z@0x00041fbc:0.430151
0x000897d0	0x750	buka21	0x000e47bd	___strgtold12	(libcmt)	0.430691	0.019172		shape=0.291;size=0.633;calls=1.000;alternate=pol20:void combatManager::SetCombatDirections(int)@0x0002abbe:0.416025
0x00089f20	0x3a0	buka21	0x000e4cca	_$I10_OUTPUT	(libcmt)	0.536065	0.536065	1#IND|1#INF|1#QNAN|1#SNAN	shape=0.183;size=0.710;calls=0.800;strings=1#IND|1#INF|1#QNAN;alternate=pol20:void CycleColors(int)@0x000ca6d0:0.434282
0x0008a2c0	0x40	buka21	0x000c8230	?SETREST@@YIXHI@Z	BASE/Bzip	0.427869	0.000000		shape=0.167;size=0.859;calls=1.000;alternate=pol20:void game::RandomizeBarrier(class mapCell *)@0x00078aea:0.325774
0x0008a300	0x70	buka21	0x000e35b8	__sptype	(libcmt)	0.441819	0.021837		shape=0.211;size=0.804;calls=1.000;alternate=pol20:signed char ExpCampaign::IsSpecialGoldenBow(int, int)@0x000bdaeb:0.336981
0x0008a370	0xf0	pol20	0x000c8d20	unsigned long int resourceManager::GetFileSize(unsigned long int)	BASE/RESMGR	0.427620	0.068135		shape=0.081;size=0.960;calls=1.000;alternate=buka21:?GetFileSize@resourceManager@@QAEKK@Z@0x000b8bf0:0.414071
0x0008a460	0x20	buka21	0x000e36d3	__frnd	(libcmt)	0.332202	0.049494		shape=0.143;size=0.562;calls=1.000;alternate=pol20:void ConvertSmackerPalette(unsigned char *)@0x00001000:0.253846
0x0008a480	0xb0	pol20	0x000cac80	void heroWindowManager::AddWindow(class heroWindow *, int, int)	BASE/WINMGR	0.418105	0.081052		shape=0.095;size=0.936;calls=1.000;alternate=buka21:__filbuf@0x000dfa67:0.344253
0x0008a530	0x370	buka21	0x000e61f9	__raise_exc	(libcmt)	0.476178	0.074734		shape=0.295;size=0.785;calls=1.000;alternate=pol20:void searchArray::TestPossibleDirections(int, int, signed char * const, signed char * const, int, int)@0x000a4e90:0.378546
0x0008a8a0	0x2c0	buka21	0x000e64ac	__handle_exc	(libcmt)	0.421355	0.031824		shape=0.167;size=0.760;calls=1.000;alternate=pol20:void searchArray::TestPossibleDirections(int, int, signed char * const, signed char * const, int, int)@0x000a4e90:0.380199
0x0008ab60	0x30	buka21	0x000e674b	__set_errno	(libcmt)	0.430000	0.127595		shape=0.222;size=0.833;calls=1.000;alternate=pol20:int heroWindowManager::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]@0x000cac00:0.357784
0x0008ab90	0x10	buka21	0x000035d2	?Reseed@advManager@@QAEXHH@Z	SOURCE/ADVMGR	0.289217	0.140009		shape=0.000;size=0.696;calls=1.000;alternate=pol20:void ConvertSmackerPalette(unsigned char *)@0x00001000:0.203590
0x0008aba0	0x20	buka21	0x000035d2	?Reseed@advManager@@QAEXHH@Z	SOURCE/ADVMGR	0.275089	0.013125		shape=0.000;size=0.719;calls=1.000;alternate=pol20:void ConvertSmackerPalette(unsigned char *)@0x00001000:0.267179
0x0008abc0	0x20	buka21	0x000035d2	?Reseed@advManager@@QAEXHH@Z	SOURCE/ADVMGR	0.277375	0.007500		shape=0.000;size=0.719;calls=1.000;alternate=pol20:void ConvertSmackerPalette(unsigned char *)@0x00001000:0.262735
0x0008abe0	0x40	pol20	0x000d5630	void SETREST(int, unsigned int)	BASE/Bzip	0.411170	0.000000		shape=0.061;size=0.985;calls=1.000;alternate=buka21:?SETREST@@YIXHI@Z@0x000c8230:0.369303
0x0008ac20	0xf0	pol20	0x00013900	void townObject::constructor(int, int, char *)	SOURCE/TOWNMGR	0.381657	0.047560		shape=0.096;size=0.663;calls=1.000;alternate=buka21:___crtGetEnvironmentStringsA@0x000ded50:0.339791
0x0008ad10	0x2b0	buka21	0x000e6a44	___ld12mul	(libcmt)	0.433102	0.074725		shape=0.209;size=0.791;calls=1.000;alternate=pol20:int iconWidget::Main(struct tag_message &);   // virtual [override (implements widget pure virtual)]@0x000d0cd0:0.381564
0x0008afc0	0x7c	pol20	0x000ceb70	void heroWindow::constructor(void)	BASE/WINDOW	0.403767	0.002542		shape=0.127;size=0.729;calls=1.000;alternate=buka21:?TranslatorGuardHandler@@YA?AW4_EXCEPTION_DISPOSITION@@PAUEHExceptionRecord@@PAUTranslatorGuardRN@@PAX2@Z@0x000d6c60:0.380029
